0.11754,7544.368,0
15.67,520.6,1
0.076253,392.84,0
18.8,125.86,1
37,101.24,1
0.096032,70.832,0
11,64.976,0
14.4,59.75,0
-0.11754,59.136,0
31,58.77,1
10.9,48.24,0
18.5,36.982,1
11.5,31.494,0
27,30.134,1
0.192064,29.024,0
15.5,28.662,0
9.6,28.376,0
10.5,26.658,0
15,26.256,0
10,23.034,0
12,22.558,0
13.5,17.776,0
16.5,16.46,0
-0.076253,15.846,0
14,15.216,0
16,14.674,0
0.288096,14.63,0
46.5,13.628,1
17,13.58,0
13,12.446,0
0.384128,8.476,0
17.5,8.174,0
0.48016,7.36,0
12.5,6.644,0
164.16,4.508,1
18,4.322,0
18.5,2.326,0
165.36,2.176,1
14.5,1.62,0
-0.096032,1.392,0
23,1.016,0
230.9,1.012,1
19.5,0.726,0
19,0.7,0
685.4,0.298,1
20,0.26,0
2472,0.044,1
