15.67,1732.016,1
18.5,122.9588,1
18.8,420.7746,1
27,100.2754,1
31,195.8364,1
37,338.081,1
46.5,44.4798,1
164.16,15.522,1
165.36,7.647,1
230.9,3.3232,1
2472,0.1784,1
685.4,1.081,1
-0.076253,3.0528,0
0.076253,74.571,0
-0.096032,0.1048,0
0.096032,5.6984,0
-0.11754,6.6784,0
0.11754,838.1038,0
0.192064,2.297,0
0.288096,1.1474,0
0.384128,0.6706,0
0.48016,0.605,0
9.6,43.294,0
10,52.1954,0
10.5,67.444,0
10.9,95.4806,0
11,172.3854,0
11.5,89.962,0
12,66.2556,0
12.5,20.527,0
13,39.2556,0
13.5,57.8984,0
14,51.241,0
14.4,197.3202,0
14.5,5.3108,0
15,87.9188,0
15.5,96.7874,0
16,48.964,0
16.5,53.7092,0
17,45.4002,0
17.5,27.3688,0
18,14.3296,0
18.5,7.6936,0
19,2.1392,0
19.5,2.416,0
20,0.9338,0
23,3.6166,0
0,0,0
0,0,0
