12.12984,3252.2218,1,1
33.105,277.7252,1,2
64.155,180.2876,1,3
676.4,9.5112,1,1
689,6.1198,1,1
940.6,2.488,1,1
1002.1,1.078,1,1
1148.7,0.7406,1,1
4786,0.2752,1,1
5107,0.1272,1,1
5453,0.0864,1,1
34561,0.004,1,1
8.3153,43.811,0,0
8.4365,258.7858,0,0
9.4472,20.2668,0,0
9.5697,216.173,0,0
9.5802,25.2754,0,0
9.6856,42.495,0,0
9.7207,28.5356,0,0
9.7893,21.668,0,0
9.8211,17.2606,0,0
9.8904,23.356,0,0
9.9171,10.9114,0,0
9.9335,29.8936,0,0
9.9431,46.8758,0,0
9.9588,49.8574,0,0
10.0391,51.9638,0,0
10.1575,31.24,0,0
10.22,22.2304,0,0
10.401,368.9404,0,0
10.5621,5.7186,0,0
10.5932,80.1292,0,0
10.9016,28.7824,0,0
10.9576,3.575,0,0
10.9715,14.0754,0,0
10.9788,0.8588,0,0
11.0547,15.378,0,0
11.0691,3.8618,0,0
11.1412,7.2556,0,0
11.1626,68.5304,0,0
11.2742,18.024,0,0
11.4225,17.7366,0,0
11.4951,1.5376,0,0
11.5829,0.363,0,0
11.6072,142.5492,0,0
11.6828,6.516,0,0
11.7395,70.4538,0,0
11.7521,20.8918,0,0
11.8068,2.9786,0,0
11.8403,44.61,0,0
11.8518,1.7746,0,0
11.8778,20.4994,0,0
11.8917,2.4836,0,0
11.9082,27.2512,0,0
11.9177,3.4992,0,0
11.9416,0.3558,0,0
11.955,17.554,0,0
11.9621,1.601,0,0
11.9789,0.3426,0,0
11.9886,11.3982,0,0
11.9939,0.9684,0,0
12,57.4912,0,0
